abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
g2m8masn,,,0,C82H137N2O65X,,,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,C05874,2016-11-22T15:11:58Z,,805,,,,,,g2m8masn,,,http://vmh.uni.lu/_api/metabolites/805/?format=pcsv
glc2man,,,0,C18H32O16,,,"(2)[glucose-1,3]-mannose oligosaccharide",,"(2)[glucose-1,3]-mannose oligosaccharide",,,,,2016-11-22T15:11:58Z,,806,,,,,,glc2man,,,http://vmh.uni.lu/_api/metabolites/806/?format=pcsv
glc3man,,,0,C24H42O21,,,"glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide",,"glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide",,,,,2016-11-22T15:11:58Z,,807,,,,,,glc3man,,,http://vmh.uni.lu/_api/metabolites/807/?format=pcsv
g1m7masnC,,,0,C70H117N2O55X,,,"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",,"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",,,,,2016-11-22T15:11:58Z,,808,,,,,,g1m7masnC,,,http://vmh.uni.lu/_api/metabolites/808/?format=pcsv
m6masnC,,,0,C58H97N2O45X,,,(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,,2016-11-22T15:11:58Z,,809,,,,,,m6masnC,,,http://vmh.uni.lu/_api/metabolites/809/?format=pcsv
g1m7masnB,,,0,C70H117N2O55X,,,"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",,"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",,,,,2016-11-22T15:11:58Z,,810,,,,,,g1m7masnB,,,http://vmh.uni.lu/_api/metabolites/810/?format=pcsv
m6masnB2,,,0,C58H97N2O45X,,,(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,,2016-11-22T15:11:58Z,,811,,,,,,m6masnB2,,,http://vmh.uni.lu/_api/metabolites/811/?format=pcsv
g1m6masnB1,,,0,C64H107N2O50X,,,glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,,2016-11-22T15:11:58Z,,812,,,,,,g1m6masnB1,,,http://vmh.uni.lu/_api/metabolites/812/?format=pcsv
m5masnB1,,,0,C52H87N2O40X,,,(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),,,,,2016-11-22T15:11:58Z,,813,,,,,,m5masnB1,,,http://vmh.uni.lu/_api/metabolites/813/?format=pcsv
2pg,,,-3,C3H4O7P,CHEBI:17835,,D-Glycerate 2-phosphate,,D-Glycerate 2-phosphate,,,"1/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1/f/h5,7-8H",C00631,2016-11-22T15:11:58Z,,814,,,,,439278,2pg,,,http://vmh.uni.lu/_api/metabolites/814/?format=pcsv
2ameph,,,-1,C2H7NO3P,CHEBI:15573,,Human Metabolome Database (HMDB): Ciliatine is an organophosphorus compound isolated from human and animal tissues.,,(2-Aminoethyl)phosphonate,,HMDB11747,"InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)",C03557,2016-12-05T15:48:05Z,,815,,,,,339,,," beta-Aminoethylphosphonic acid, (2-Aminoethane)phosphonic acid, (2-aminoethyl)phosphonate, (2-Aminoethyl)phosphonic acid, 2-Aminoethylphosphonate, Aminoethylphosphonic acid, Ciliatine, Phosphonoethylamine",http://vmh.uni.lu/_api/metabolites/815/?format=pcsv
cmp2amep,,,-1,C11H19N4O10P2,,,CMP-2-aminoethylphosphonate,,CMP-2-aminoethylphosphonate,,,"InChI=1/C11H20N4O10P2/c12-2-4-26(19,20)25-27(21,22)23-5-6-8(16)9(17)10(24-6)15-3-1-7(13)14-11(15)18/h1,3,6,8-10,16-17H,2,4-5,12H2,(H,19,20)(H,21,22)(H2,13,14,18)/t6-,8-,9-,10-/m1/s1",C05673,2016-11-22T15:11:58Z,,816,,,,,440754,,,,http://vmh.uni.lu/_api/metabolites/816/?format=pcsv
estradiolglc,,,0,C24H32O8,CHEBI:36489,,Human Metabolome Database (HMDB): Estradiol gulcuronide is believed to play important roles in the mechanism of 17beta-estradiol(E2)-mediated tumor formation. Conjugation with glucuronic acid lowers tissue levels by facilitating excretion.The heterotropic activation by daidzein appears to be specific for the glucuronidation of E2 because daidzein did not affect the glucuronidation of the 2- and 4-hydroxy metabolites of E2. (PMID: 16598814).,,17beta-estradiol 3-glucosiduronic acid,,HMDB06224,"InChI=1S/C24H32O8/c1-24-9-8-14-13-5-3-12(10-11(13)2-4-15(14)16(24)6-7-17(24)25)31-23-20(28)18(26)19(27)21(32-23)22(29)30/h3,5,10,14-21,23,25-28H,2,4,6-9H2,1H3,(H,29,30)/t14-,15-,16+,17+,18+,19+,20-,21+,23-,24+/m1/s1",C05503,2016-12-05T15:48:05Z,,817,,,,,13783824,estradiolglc,,"17-b-Estradiol-3-glucuronide, 17-beta-Estradiol-3-glucuronide, 17beta-Estradiol 3-(beta-D-glucuronide), 17beta-Estradiol 3-(beta-delta-glucuronide), 17beta-estradiol 3-glucosiduronic acid, 17beta-estradiol 3-glucuronide, 17beta-estradiol-3-glucuronide, 17beta-hydroxyestra-1,3,5(10)-trien-3-yl beta-D-glucopyranosiduronic acid, 17beta-hydroxyestra-1,3,5(10)-trien-3-yl beta-delta-glucopyranosiduronic acid, beta-Estradiol 3-?-D-glucuronide, Estra-1,3,5(10)-triene-3,17beta-diol 3-D-glucuronide, Estra-1,3,5(10)-triene-3,17beta-diol 3-delta-glucuronide, Estradiol glucuronide, Estradiol-17-beta-3-glucuronide, Estradiol-17beta 3-glucuronide",http://vmh.uni.lu/_api/metabolites/817/?format=pcsv
estradiol,,,0,C18H24O2,CHEBI:16469,,"Human Metabolome Database (HMDB): Estradiol is the most potent form of mammalian estrogenic steroids. Estradiol is produced in the ovaries. The ovary requires both luteinizing hormone (LH) and follicle-stimulating hormone (FSH) to produce sex steroids. LH stimulates the cells surrounding the follicle to produce progesterone and androgens. The androgens diffuse across the basement membrane to the granulosa cell layer, where, under the action of FSH, they are aromatized to estrogens, mainly estradiol. The ovary shows cyclical activity, unlike the testis that is maintained in a more or less constant state of activity. Hormone secretions vary according to the phase of the menstrual cycle. In the developing follicle LH receptors (LH-R) are only located on the thecal cells and FSH receptors (FSHR) on the granulosa cells. The dominant pre-ovulatory follicle develops LH-Rs on the granulosa cells prior to the LH surge. Thecal cells of the preovulatory follicle also develop the capacity to synthesize estradiol and this persists when the thecal cells become incorporated into the corpus luteum. After ovulation, the empty follicle is remodelled and plays an important role in the second half or luteal phase of the menstrual cycle. This phase is dominated by progesterone and, to a lesser extent, estradiol secretion by the corpus luteum. estradiol is also synthesized locally from cholesterol through testosterone in the hippocampus and acts rapidly to modulate neuronal synaptic plasticity. Localization of estrogen receptor alpha (ERalpha) in spines in addition to nuclei of principal neurons implies that synaptic ERalpha is responsible for rapid modulation of synaptic plasticity by endogenous estradiol. estradiol is a potent endogenous antioxidant which suppresses hepatic fibrosis in animal models, and attenuates induction of redox sensitive transcription factors, hepatocyte apoptosis and hepatic stellate cells activation by inhibiting a generation of reactive oxygen species in primary cultures. This suggests that the greater progression of hepatic fibrosis and hepatocellular carcinoma in men and postmenopausal women may be due, at least in part, to lower production of estradiol and a reduced response to the action of estradiol. estradiol has been reported to induce the production of interferon (INF)-gamma in lymphocytes, and augments an antigen-specific primary antibody response in human peripheral blood mononuclear cells. IFN-gamma is a potent cytokine with immunomodulatory and antiproliferative properties. Therefore, female subjects, particularly before menopause, may produce antibodies against hepatitis B virus e antigen and hepatitis B virus surface antigen at a higher frequency than males with chronic hepatitis B virus infection. The estradiol-Dihydrotestosterone model of prostate cancer (PC) proposes that the first step in the development of most PC and breast cancer (BC) occurs when aromatase converts testosterone to estradiol. (PMID: 17708600, 17678531, 17644764).",,estradiol,,HMDB00151,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",C00951,2016-12-05T15:48:05Z,,818,,,,,5757,estradiol,,"(+)-3,17b-Estradiol, (17b)-Estra-1,3,5(10)-triene-3,17-diol, 13b-Methyl-1,3,5(10)-gonatriene-3,17b-ol, 17b-Estradiol, 17b-Oestradiol, 3,17-Epidihydroxyestratriene, 3,17b-Dihydroxyestra-1,3,5(10)-triene, 3,17b-Estradiol, Aerodiol, Agofollin, Altrad, Amnestrogen, Aquadiol, b-Estradiol, Bardiol, beta-Estradiol, Climaderm, Climara, Compudose, Corpagen, D-Estradiol, D-Oestradiol, delta-Estradiol, delta-Oestradiol, Dermestril, Dihydro-Theelin, Dihydrofollicular hormone, Dihydrofolliculin, Dihydromenformon, Dihydrotheelin, Dihydroxyestrin, Dimenformon, Diogyn, Diogynets, Divigel, Encore, Epiestriol 50, Estra-1,3,5(10)-triene-3,17b-diol, Estrace, Estraderm TTS, Estradiol, Estradiol-17-beta, Estradot, Estraldine, Estring Vaginal Ring, Estroclim, Estroclim 50, Estrogel, Estrogel HBF, Estrovite, Evorel, Femestral, Femogen, Follicyclin, Gelestra, Ginosedol, Gynergon, Gynoestryl, Lamdiol, Macrodiol, Menorest, Nordicol, Oesclim, Oestergon, Oestra-1,3,5(10)-triene-3,17b-diol, Oestradiol, Oestrogel, Oestroglandol, Ovahormon, Ovasterol, Ovastevol, Ovocyclin, Ovocylin, Perlatanol, Primofol, Profoliol, Profoliol B, Progynon, Progynon DH, Sandrena 1, Syndiol, Systen, Vivelle, Zumenon",http://vmh.uni.lu/_api/metabolites/818/?format=pcsv
estriolglc,,,0,C24H32O9,,,"Human Metabolome Database (HMDB): Estriol-16-glucuronide is a glucuronide derivative of the steroid estriol where the glucuronic acid is attached to the 16-hydroxyl group of Estriol. Glucuronidation is used to assist in the excretion of toxic substances, drugs or other substances that cannot be used as an energy source. Glucuronic acid is attached via a glycosidic bond to the substance, and the resulting glucuronide, which has a much higher water solubility than the original substance, is eventually excreted by the kidneys. Estriol (also known as oestriol) is one of the three main estrogens produced by the human body. It is only produced in significant amounts during pregnancy as it is made by the placenta.",,16-Glucuronide-estriol,,HMDB06766,"InChI=1/C24H32O9/c1-24-7-6-13-12-5-3-11(25)8-10(12)2-4-14(13)15(24)9-16(21(24)29)32-23-19(28)17(26)18(27)20(33-23)22(30)31/h3,5,8,13-21,23,25-29H,2,4,6-7,9H2,1H3,(H,30,31)/t13-,14-,15+,16-,17+,18+,19-,20+,21+,23-,24+/m1/s1",C05504,2016-12-05T15:48:05Z,,819,,,,,122281,,,"16-Glucuronide-Estriol, 16alpha,17beta-Estriol 16-(beta-D-glucuronide), 16alpha,17beta-Estriol 16-(beta-delta-glucuronide)",http://vmh.uni.lu/_api/metabolites/819/?format=pcsv
estriol,,,0,C18H24O3,CHEBI:27974,,"Human Metabolome Database (HMDB): Estriol is a metabolite of estrone metabolized via 16alpha-hydroxyestrone through the enzyme 16alpha-hydroxysteroid dehydrogenase (EC 1.1.1.147) or to 2- or 4-hydroxyestrone (catechol estrogens) by the action of catecho-O-methyltransferase (EC 2.1.1.6). The latter metabolites can be formed in the brain and may compete with receptors for catecholamines. Metabolites are conjugated with sulfate or glucuronide before excretion by the kidney. During pregnancy, estriol constitutes 60-70% of the total estrogens, increasing to 300-500-fold in relation to non-pregnant women. The late term human fetus produces relatively large amounts of 16 alphahydroxy DHEA, which serves the mother as a precursor of estriol. It has been shown that 90% of the precursors for the formation of estriol are of fetal origin. If abnormal maternal serum screening results, specifically low levels of unconjugated estriol in the second trimester are detected, a diagnosis of Smith-Lemli-Opitz syndrome (SLOS),or RSH is suspected. SLOS is an autosomal recessive disorder caused by mutations of the gene encoding 7-dehydrocholesterol reductase (EC 1.3.1.21, DHCR7). (PMID: 16202579, 16112271, 16097001).",,estriol,,HMDB00153,"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",C05141,2016-12-05T15:48:05Z,,820,,,,,5756,,," 16a,17b-Estriol, 13b-Methyl-1,3,5(10)-gonatriene-3,16a,17b-triol, 16-alpha,17-beta-Estriol, 16-alpha,17-beta-Oestriol, 16-alpha-Hydroxyestradiol, 16a-Estriol, 16a-Hydroxyestradiol, 16alpha,17beta-Estriol, 16alpha,17beta-Oestriol, 16alpha-Hydroxy-17beta-estradiol, 16alpha-Hydroxyestradiol, 16alpha-Hydroxyoestradiol, 3,16a,17b-Estriol, 3,16a,17b-Trihydroxyestra-1,3,5(10)-triene, 3,16alpha,17beta-Trihydroxy-1,3,5(10)-estratriene, 3,16alpha,17beta-Trihydroxyestra-1,3,5(10)-triene, Aacifemine, Colpogyn, Colpovister, Destriol, Deuslon A, Deuslon-A, Estra-1,3,5(10)-triene-3,16a,17b-triol, Estratriol, Estriel, Estriol, Follicular hormone hydrate, Gynasan, Hemostyptanon, Holin V, Hormomed, Incurin, Klimax E, Klimoral, Oekolp, Oestratriol, Oestriol, Oestriolum, Orestin, Orgastyptin, Ortho-Gynest, Ovesterin, Ovestin, Ovestinon, Ovestrion, Ovo-Vinces, Theelol, Tridestrin, Trihydroxyestrin, Triovex",http://vmh.uni.lu/_api/metabolites/820/?format=pcsv
estroneglc,,,0,C24H30O8,CHEBI:28919,,"Human Metabolome Database (HMDB): Estrone-glucuronide is the dominant metabolite of estradiol. Estrone glucuronide is formed by a UDP glucuronyltransferase (EC 2.4.1.17, UTP) reaction creating a much more water-soluble form of the hormone; glucuronides are the most abundant estrogen conjugates. Measurement of estrone-glucuronide is used as one reference method for determining ovulation (immunotubes are available for measuring urinary estrone glucuronide in conjunction with LH, one of the most advanced of ovulation prediction products). (PMID: 14742773, 1755456).",,estrone 3-glucosiduronic acid,,HMDB04483,,C11133,2016-12-05T15:48:05Z,,821,,,,,115255,estroneglc,,"Estrone 3-glucuronide, Estrone beta-D-glucuronide, Estrone beta-delta-glucuronide, Estrone-3-glucosiduronic acid",http://vmh.uni.lu/_api/metabolites/821/?format=pcsv
estrones,,,-1,C18H21O5S,CHEBI:17474,,estrone 3-sulfate(1-),,estrone 3-sulfate(1-),,,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/p-1/t14-,15-,16+,18+/m1/s1",C02538,2016-11-22T15:11:59Z,,822,,,,,3001028,estrones,,,http://vmh.uni.lu/_api/metabolites/822/?format=pcsv
estrone,,,0,C18H22O2,CHEBI:17263,,"Human Metabolome Database (HMDB): Estrone is a major mammalian estrogen. The conversion of the natural C19 steroids, testosterone and androstenedione into estrone is dependent on a complex key reaction catalyzed by the cytochrome P450 aromatase (EC 1.14.14.1, unspecific monooxygenase), which is expressed in many tissues of the adult human (e.g. ovary, fat tissue), but not in the liver. The ovaries after menopause continue to produce androstenedione and testosterone in significant amounts and these androgens are converted in fat, muscle, and skin into estrone. When women between the ages of 45 and 64 years have prophylactic oophorectomy (when hysterectomy is performed for benign disease to prevent the development of ovarian cancer), evidence suggests that oophorectomy increases the subsequent risk of coronary heart disease (CHD) and osteoporosis. Whereas 14,000 women die of ovarian cancer every year nearly 490,000 women die of heart disease and 48,000 women die within 1 year after hip fracture. Therefore, the decision to perform prophylactic oophorectomy should be approached with great caution for the majority of women who are at low risk of developing ovarian cancer. Steroid sulfatase (EC 3.1.6.2, STS) hydrolyzes steroid sulfates, such as estrone sulfate to estrone which can be converted to steroids with potent estrogenic properties, that is, estradiol; STS activity is much higher in breast tumors and high levels of STS mRNA expression in tumors are associated with a poor prognosis. The biological roles of estrogens in tumorigenesis are certainly different between the endometrium and breast, although both are considered ""estrogen-dependent tissues"". 17beta-hydroxysteroid dehydrogenases (EC 1.1.1.62, 17-HSDs) are enzymes involved in the formation of active sex steroids. estrone is interconverted by two enzymes 17-HSD types. Type 1 converts estrone to estradiol and Type 2 catalyzes the reverse reaction. (PMID: 17653961, 17513923, 17470679, 17464097).",,estrone,,HMDB00145,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",C00468,2016-12-05T15:48:05Z,,823,,,,,5870,estrone,,"(+)-Estrone, 1,3,5(10)-Estratrien-3-ol-17-one, 3-Hydroxy-17-keto-estra-1,3,5-triene, 3-Hydroxyestra-1,3,5(10)-trien-17-one, 3-Hydroxyestra-1,3,5(10)-triene-17-one, 3-Hydroxyoestra-1,3,5(10)-trien-17-one, D1,3,5(10)-Estratrien-3-ol-17-one",http://vmh.uni.lu/_api/metabolites/823/?format=pcsv
etfox,,,0,R,,,Electron transfer flavoprotein oxidized,,Electron transfer flavoprotein oxidized,,,,,2016-11-22T15:11:59Z,,824,,,,,,etfox,,,http://vmh.uni.lu/_api/metabolites/824/?format=pcsv
etfrd,,,0,RH2,,,Electron transfer flavoprotein reduced,,Electron transfer flavoprotein reduced,,,,,2016-11-22T15:11:59Z,,825,,,,,,etfrd,,,http://vmh.uni.lu/_api/metabolites/825/?format=pcsv
etha,,,1,C2H8NO,CHEBI:16000,,"Human Metabolome Database (HMDB): Ethanolamine is a viscous, hygroscopic amino alcohol with an ammoniacal odor. It is widely distributed in biological tissue and is a component of lecithin. It is used as a surfactant, fluorometric reagent, and to remove CO2 and H2S from natural gas and other gases.",,etha[c],,HMDB00149,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",C00189,2016-12-05T15:48:05Z,,826,,,,,700,etha,,"1-Amino-2-hydroxyethane, 2-Amino-1-ethanol, 2-Aminoethanol, 2-Aminoethyl alcohol, 2-Ethanolamine, 2-Hydroxyethanamine, 2-Hydroxyethylamine, Aethanolamin, Aminoethanol, b-Aminoethanol, b-Aminoethyl alcohol, b-Ethanolamine, b-Hydroxyethylamine, beta-Aminoethanol, beta-Aminoethyl alcohol, beta-Ethanolamine, beta-Hydroxyethylamine, Colamine, Envision Conditioner PDD 9020, eta, Ethanolamine, Ethylolamine, Glycinol, H-Glycinol, MEA, Monoaethanolamin, Monoethanolamine, Olamine",http://vmh.uni.lu/_api/metabolites/826/?format=pcsv
11_cis_retfa,,,0,C20H29OFULLR2CO,,,fatty acid 11-cis-retinol,,fatty acid 11-cis-retinol,,,,,2016-11-22T15:11:59Z,,827,,,,,,11_cis_retfa,,,http://vmh.uni.lu/_api/metabolites/827/?format=pcsv
13_cis_retnglc,,,-1,C26H35O8,,,13-cis-retinoyl glucuronide,,13-cis-retinoyl glucuronide,,,"InChI=1S/C26H36O8/c1-15(11-12-18-17(3)10-7-13-26(18,4)5)8-6-9-16(2)14-19(27)33-25-22(30)20(28)21(29)23(34-25)24(31)32/h6,8-9,11-12,14,20-23,25,28-30H,7,10,13H2,1-5H3,(H,31,32)/b9-6+,12-11+,15-8+,16-14+/t20-,21-,22+,23-,25+/m0/s1",C11061,2016-11-22T15:11:59Z,,828,,,,,5281877,13_cis_retnglc,,,http://vmh.uni.lu/_api/metabolites/828/?format=pcsv
1glyc_hs,,,-1,C6H13O7PFULLRCO2,,,1 acyl phosphoglycerol,,1 acyl phosphoglycerol,,,,,2016-11-22T15:11:59Z,,829,,,,,,1glyc_hs,,,http://vmh.uni.lu/_api/metabolites/829/?format=pcsv
9_cis_retfa,,,0,C20H29OFULLR2CO,,,fatty acid 9-cis-retinol,,fatty acid 9-cis-retinol,,,,,2016-11-22T15:11:59Z,,830,,,,,,9_cis_retfa,,,http://vmh.uni.lu/_api/metabolites/830/?format=pcsv
adprbp,,,-4,C15H20N5O17P3,CHEBI:37463,,ADP-D-ribose 2'-phosphate(4-),,ADP-D-ribose 2'-phosphate(4-),,,"InChI=1S/C15H24N5O17P3/c16-12-7-13(18-3-17-12)20(4-19-7)14-11(35-38(25,26)27)9(23)6(33-14)2-32-39(28,29)37-40(30,31)36-15-10(24)8(22)5(1-21)34-15/h3-6,8-11,14-15,21-24H,1-2H2,(H,28,29)(H,30,31)(H2,16,17,18)(H2,25,26,27)/p-4/t5-,6-,8-,9-,10-,11-,14-,15?/m1/s1",C03246,2016-11-22T15:11:59Z,,831,,,,,439957,adprbp,,,http://vmh.uni.lu/_api/metabolites/831/?format=pcsv
fe2,,,2,Fe,CHEBI:29033,,"Human Metabolome Database (HMDB): Iron is a chemical element with the symbol Fe and atomic number 26. Iron makes up 5% of the Earth's crust and is second in abundance to aluminium among the metals and fourth in abundance among the elements. Physiologically, it. exists as an ion in the body. Iron (as Fe2+, ferrous ion) is a necessary trace element used by all known living organisms. Iron-containing enzymes, usually containing heme prosthetic groups, participate in catalysis of oxidation reactions in biology, and in transport of a number of soluble gases. Iron is an essential constituent of hemoglobin, cytochrome, and other components of respiratory enzyme systems. Its chief functions are in the transport of oxygen to tissue (hemoglobin) and in cellular oxidation mechanisms. Inorganic iron involved in redox reactions is also found in the iron-sulfur clusters of many enzymes, such as nitrogenase (involved in the synthesis of ammonia from nitrogen and hydrogen) and hydrogenase. A class of non-heme iron proteins is responsible for a wide range of functions such as ribonucleotide reductase (reduces ribose to deoxyribose; DNA biosynthesis) and purple acid phosphatase (hydrolysis of phosphate esters). When the body is fighting a bacterial infection, the body sequesters iron inside of cells (mostly stored in the storage molecule ferritin) so that it cannot be used by bacteria. Depletion of iron stores may result in iron-deficiency anemia. Iron is used to build up the blood in anemia. Humans experience iron toxicity above 20 milligrams of iron for every kilogram of weight, and 60 milligrams per kilogram is a lethal dose. Over-consumption of iron, often the result of children eating large quantities of ferrous sulfate tablets intended for adult consumption, is the most common toxicological cause of death in children under six. The DRI lists the Tolerable Upper Intake Level (UL) for adults as 45 mg/day. For children under fourteen years old the UL is 40 mg/day. Iron is a metal extracted from iron ore, and is almost never found in the free elemental state.",,Fe2+,,HMDB00692,InChI=1S/Fe/q+2,C14818,2016-12-05T15:48:05Z,,832,,,,Fe2+,27284,fe2,,"Armco iron, Carbonyl iron, FE, Ferrovac e, Hematite, Infed, Limonite, LOHA, Magnetite, Malleable iron, Metopirone, Metyrapone, Pzh2M, PZHO, Remko, Suy-B 2, Taconite, Venofer, Wrought iron",http://vmh.uni.lu/_api/metabolites/832/?format=pcsv
